Structural decision, We should deprecate ConnectionManager in before removing it in Deprecate NIO ConnectionManager
Structural decision,What StringIndexerInverse does is not strictly associated with StringIndexer and the name is not super clear Rename StringIndexerInverse to IndexToString
Non-existence - ban decision,This requires some discussion I m not sure whether runs is a useful parameter It certainly complicates the implementation We might want to optimize the k means implementation with block matrix operations In this case having runs may not be worth the trade offs Remove runs from KMeans under the pipeline API
Behavioral decision,There exists a chance that the prefixes keep growing to the maximum pattern length Then the final local processing step becomes unnecessary Skip local processing in PrefixSpan if there are no small prefixes
Structural decision,parquet mr fixed several issues that affect Spark For example PARQUET SPARK Upgrade parquet mr to
Structural decision,The utilities such as Substring substringBinarySQL and BinaryPrefixComparator computePrefix for binary data are put together in ByteArray for easy to read Move utilities for binary data into ByteArray
Structural decision,PlatformDependent UNSAFE is way too verbose Rename PlatformDependent UNSAFE Platform
Non-existence - ban decision,I took a look at the commit messages in git log it looks like the individual commit messages are not that useful to include but do make the commit messages more verbose They are usually just a bunch of extremely concise descriptions of bug fixes merges etc See mailing list discussions http apache spark developers list n nabble com discuss Removing individual commit messages from the squash commit message td html Remove individual commit messages from the squash commit message
Behavioral decision,Add Python API user guide and example for ml regression IsotonicRegression Add Python API for ml regression IsotonicRegression
Behavioral decision,Add Python API for MultilayerPerceptronClassifier Add Python API for MultilayerPerceptronClassifier
Behavioral decision,Add Python API user guide and example for ml feature CountVectorizerModel Add Python API for ml feature CountVectorizer
Non-existence - ban decision,We introduced the Netty network module for shuffle in Spark and has turned it on by default for releases The old ConnectionManager is difficult to maintain It s time to remove it Remove ConnectionManager
Behavioral decision,see discussion here https github com apache spark pull issuecomment Improve performance of Decimal times and casting from integral
Non-existence - ban decision,TypeCheck no longer applies in the new Tungsten world Remove TypeCheck in debug package
Non-existence - ban decision,In https github com apache spark pull we added FromUnsafe to convert nexted unsafe data like array map struct to safe versions It s a quick solution and we already have GenerateSafe to do the conversion which is codegened So we should remove FromUnsafe and implement its codegen version in GenerateSafe remove FromUnsafe and add its codegen version to GenerateSafe
Behavioral decision,JoinedRow anyNull currently loops through every field to check for null which is inefficient if the underlying rows are UnsafeRows It should just delegate to the underlying implementation JoinedRow anyNull should delegate to the underlying rows
Behavioral decision,This JIRA is for making several ML APIs public to make it easier for users to write their own Pipeline stages Issue brought up by eronwright Descriptions below copied from http apache spark developers list n nabble com Make ML Developer APIs public post td html We plan to make these APIs public in Spark However they will be marked DeveloperApi and are very likely to be broken in the future VectorUDT To define a relation with a vector field VectorUDT must be instantiated Identifiable trait The trait generates a unique identifier for the associated pipeline component Nice to have a consistent format by reusing the trait ProbabilisticClassifier Third party components should leverage the complex logic around computing only selected columns We will not yet make these public SchemaUtils Third party pipeline components have a need for checking column types and appending columns This will probably be moved into Spark SQL Users can copy the methods into their own as needed Make some ML APIs public VectorUDT Identifiable ProbabilisticClassifier
Behavioral decision,Consider SortMergeJoin which requires a sorted clustered distribution of its input rows Say that both of SMJ s children produce unsorted output but are both single partition In this case we will need to inject sort operators but should not need to inject exchanges Unfortunately it looks like the Exchange unnecessarily repartitions using a hash partitioning We should update Exchange so that it does not unnecessarily repartition children when only the ordering requirements are unsatisfied I d like to fix this for Spark since it makes certain types of unit tests easier to write EnsureRequirements should not add unnecessary shuffles when only ordering requirements are unsatisfied
Structural decision,Previously we use MB as the default page size which was way too big for a lot of Spark applications especially for single node This patch changes it so that the default page size if unset by the user is determined by the number of cores available and the total execution memory available Pick default page size more intelligently
Behavioral decision,Add feature interaction as a transformer which takes a list of vector double columns and generate a single vector column that contains the interactions multiplication among them with proper handling of feature names Add feature interaction as a transformer
Behavioral decision,E g currently we can do up to sorts within a task During the aggregation During a sort on the same key During the shuffle In environments with tight memory restrictions the first operator may acquire so much memory such that the subsequent ones in the same task are starved A simple fix is to reserve at least a page in advance in each of these places The reserved page size need not be the same as the normal page size This is a sister problem to SPARK in Spark Core Reserve a page in all unsafe operators to avoid starving an operator
Non-existence - ban decision,A small performance optimization we don t need to generate a Tuple and then immediately discard the key We also don t need an extra wrapper Remove SqlNewHadoopRDD s generated Tuple and InterruptibleIterator
Non-existence - ban decision,It is subsumed by the new aggregate implementation Remove GeneratedAggregate
Non-existence - ban decision,GenerateUnsafeProjection can be used directly as a code generated serializer We no longer need SparkSqlSerializer Remove SparkSqlSerializer in favor of Unsafe exchange
Behavioral decision,Currently we don t support using DecimalType with precision in new unsafe aggregation it s good to support it Support update DecimalType with precision in UnsafeRow
Behavioral decision,In many modeling application data points are not necessarily sampled with equal probabilities Linear regression should support weighting which account the over or under sampling LinearRegression should supported weighted data
Behavioral decision, update InternalRow toSeq to make it accept data type info
Non-existence - ban decision,Spark s style checker should ban the use of Scala s JavaConversions which provides implicit conversions between Java and Scala collections types Instead we should be performing these conversions explicitly using JavaConverters or forgoing the conversions altogether if they re occurring inside of performance critical code Ban use of JavaConversions and migrate all existing uses to JavaConverters
Behavioral decision, Add StreamingContext getActiveOrCreate to python API
Structural decision,See http apache spark developers list n nabble com Re Should spark ec get its own repo td html for more details Move spark ec from mesos to amplab
Non-existence - ban decision, remove the createCode and createStructCode and replace the usage of them by createStructCode
Non-existence - ban decision,While reviewing yhuai s patch for SPARK I noticed that Exchange s compatible check may be incorrectly returning false in many cases As far as I know this is not actually a problem because the compatible meetsRequirements and needsAnySort checks are serving only as short circuit performance optimizations that are not necessary for correctness In order to reduce code complexity I think that we should remove these checks and unconditionally rewrite the operator s children This should be safe because we rewrite the tree in a single bottom up pass Remove compatibleWith meetsRequirements and needsAnySort checks from Exchange
Non-existence - ban decision,They were added to improve performance so JIT can inline the JoinedRow calls However we can also just improve it by projecting output out to UnsafeRow in Tungsten variant of the operators Remove all extra JoinedRows
Non-existence - ban decision, Remove UnsafeRowConverter in favor of UnsafeProjection
Structural decision,We should consolidate LocalScheduler and ClusterScheduler given most of the functionalities are duplicated in both This can be done by removing the LocalScheduler and create a LocalSchedulerBackend that connects directly to an Executor Consolidate local scheduler and cluster scheduler
Non-existence - ban decision,It is a big change but it lets us use the type information to prevent accidentally passing internal types to external types Remove InternalRow s inheritance from Row
Non-existence - ban decision,See SPARK We added varargs again Though it is technically correct it often requires that developers do clean assembly rather than not clean assembly which is a nuisance during development This JIRA will remove it for now pending a fix to the Scala compiler Params setDefault should not keep varargs annotation
