@relation designdecisions

@attribute class {1, 0}
@attribute DecisionText string

@data
1,'Update sparkml and sparkmllib package Since we decided to switch sparkmllib package into maintenance mode in 20'
1,'20 python converage mltuning module See parent task SPARK14813'
1,'consolidate ExpressionEncodertuple and Encoderstuple'
1,'Move hash expressions from miscscala into hashscala hashscala was getting pretty long and its not obvious that hash expressions belong there Creating a hashscala to put all the hash expressions'
1,'Deprecate NIO ConnectionManager We should deprecate ConnectionManager in 15 before removing it in 16'
1,'Upgrade Tachyon dependency to 082 I think that we should upgrade from Tachyon 081 to 082 in order to get the fix for'
1,'Upgrade parquetmr to 181 parquetmr 181 fixed several issues that affect Spark For example PARQUET201 SPARK9407'
1,'Refactor MemoryStore to be testable independent of BlockManager It would be nice to refactor the MemoryStore so that it can be unittested without constructing a full BlockManager or needing to mock tons of things'
1,'Reimplement stat functions as declarative function Benefits from codegen the declarative aggregate function could be much faster than imperative one we should reimplement all the builtin aggregate functions as declarative one For skewness and kurtosis we need to benchmark it to make sure that the declarative one is actually faster than imperative one'
1,'Upgrade to MiMa 0111 We should upgrade to the latest release of MiMa 0111 in order to include MiMa checks'
1,'20 python converage mlrecommendation module See parent task SPARK14813'
1,'Merge HiveSqlAstBuilder and SparkSqlAstBuilder In Spark 20 we shouldnt have two parsers anymore There should be only a single one'
1,'TrainValidationSplit  is missing in pysparkmltuning I was investingating progress in SPARK10759 and I noticed that there is no TrainValidationSplit  in pysparkmltuning module Java Scalas examples SPARK10759 use orgapachesparkmltuningTrainValidationSplit that is not available from Python and this blocks SPARK10759 Does the  have different name in PySpark maybe Also I couldnt find any JIRA task to saying it need to be implemented Is it by design that the TrainValidationSplit estimator is not ported to PySpark If not that is if the estimator needs porting then I would like to contribute'
1,'Umbrella Split testpatch off into its own TLP Given testpatchs tendency to get forked into a variety of different projects it makes a lot of sense to make an Apache TLP so that everyone can benefit from a common code base'
1,'Upgrade Hadoop MiniKDC with Kerby As discussed in the mailing list wed like to introduce Apache Kerby into Hadoop Initially its good to start with upgrading Hadoop MiniKDC with Kerby offerings Apache Kerby as an Apache Directory sub project is a Java Kerberos binding It provides a SimpleKDC server that borrowed ideas from MiniKDC and implemented all the facilities existing in MiniKDC Currently MiniKDC depends on the old Kerberos implementation in Directory Server project but the implementation is stopped being maintained Directory community has a plan to replace the implementation using Kerby MiniKDC can use Kerby SimpleKDC directly to avoid depending on the full of Directory project Kerby also provides nice identity backends such as the lightweight memory based one and the very simple json one for easy development and test environments'
1,'Upgrade Jetty to latest version of 8 9 It looks like the head master branch of Spark uses quite an old version of Jetty 8114v20131031 There have been some announcement of security vulnerabilities notably in 2015 and there are versions of both 8 and 9 that address those We recently left a webui port open and had the server compromised within days Albeit this upgrade shouldnt be the only security improvement made the current version is clearly vulnerable asis'
